code,kind,name_en,name_ar,description_en
QM,cert_option,Quality Mark Certificate,شهادة علامة الجودة,SASO Quality Mark — one of the recognized routes to Saber conformity for industrial products.
COC,cert_option,Product Certificate of Conformity,شهادة مطابقة منتج,Product Certificate of Conformity (Saber PCoC) issued per consignment by a notified body.
SELF_DEC,cert_option,Supplier Self-Declaration,إقرار ذاتي للمورد,Supplier's self-declaration of conformity — used for low-risk and non-regulated products.
G_MARK,cert_option,Gulf Mark (G-Mark),علامة المطابقة الخليجية,Gulf conformity mark for products covered by GSO technical regulations (toys low-voltage etc.).
GCTS,cert_option,Gulf Conformity Tracking System Certificate,شهادة تتبع المطابقة الخليجية,GCC Conformity Tracking System certificate (commonly required for children's toys).
SASOEX,cert_option,SASO Exemption,استثناء سابر,Documented SASO exemption applicable to specific HS codes.
TYPE_APP,cert_option,Type Approval,موافقة على النوع,Type approval (e.g. radio-frequency devices via CITC).
BIO_PLAST,cert_option,Biodegradable Plastic Certification,شهادة المنتجات البلاستيكية القابلة للتحلل,Saudi certification for oxo-biodegradable plastic products.
COC_CST,cert_option,CITC Communications CoC,شهادة مطابقة هيئة الاتصالات,Communications CoC issued by CITC for ICT and telecom devices.
CITC_CONF,cert_option,CITC Conformity,موافقة هيئة الاتصالات,CITC conformity approval for telecom and RF devices.
WEC,extra,Water Efficiency Card,بطاقة كفاءة المياه,Mandatory water-efficiency labelling card (sanitary ware fittings).
EEC,extra,Energy Efficiency Card,بطاقة كفاءة الطاقة,Mandatory energy-efficiency labelling card (appliances electronics).
TEC,extra,Tire Energy Card,بطاقة كفاءة الإطارات,Mandatory tire energy-efficiency labelling card.
IECEE,extra,IECEE Recognition,اعتماد IECEE,IECEE CB-scheme recognition required in addition to the chosen cert route for electrical safety scope.
NonReg,free_trade,Non-Regulated,غير منظم,Product is not subject to a Saudi technical regulation — free-trade import permitted.
